,Nom
490,althaus
491,althauser
492,althauss
493,altheer
494,alther
495,altherr
496,althof
497,althuser
498,altina
499,altmann
500,altmeyer
501,altoè
502,altoni
503,altorfer
504,altrocchi
505,altrock
506,altschul
507,altschüler
508,altstätter
509,altura
510,altweg
511,altwegg
512,altyzer
513,altziebler
514,alvarez zucchini
515,alvazzi
516,alvo
517,alzenberger
518,alzeni
519,am rhyn
520,amacher
521,amacker
522,amadini
523,amado
524,amadò
525,amadori
526,amaducci
527,aman
528,amann
529,amarca
530,amaron
531,amati
532,amatter
533,amaudruz
534,ambach
535,ambass
536,ambauen
537,amberg
538,amberger
539,ambiel
540,amblas
541,ambler
542,amblet
543,ambord
544,amborn
545,ambort
546,ambrecht
547,ambresin
548,ambrogi
549,ambrogini
550,ambros
551,ambroschütz
552,ambrosetti
553,ambrosi
554,ambrosini
555,ambrosino
556,ambrosio
557,ambrosioni
558,ambrosius
559,ambrosoli
560,ambs
561,ambuel
562,ambühl
563,ambühler
564,amedei
565,amendola
566,ament
567,amerio
568,amerzin
569,ameseder
570,amey
571,amez
572,amez droz
573,amez-droz
574,amgarten
575,amgwerd
576,amherd
577,amhof
578,ami
579,amici
580,amico
581,amiet
582,amiguet
583,amilcar
584,amlacher
585,amlehn
586,amlinger
587,amm
588,amman
589,ammann
590,amme
591,ammer
592,ammeter
593,ammon
594,amon
595,amonn
596,amoos
597,amori
598,amort
599,amos
600,amoser
601,amoudruz
602,amport
603,ampt
604,amrein
605,amrhein
606,amrhyn
607,ams
608,amschwand
609,amsler
610,amstad
611,amstalden
612,amstein
613,amstutz
614,amuat
615,amweg
616,amy
617,amyot
618,anagnostou
619,anaretti
620,anastasi
621,anastasia
622,anatrà
623,anatra
624,ançay
625,anceaux
626,ancel
627,ancellin
628,anceschi
629,anchieri
630,anchisi
631,anconelli
632,ancrenaz
633,anda
634,andacher
635,andeer
636,andefuhr
637,andenmatten
638,anderau
639,anderauer
640,anderegg
641,andereggen
642,anderes
643,anderfuhren
644,anderhalden
645,anderhirsern
646,anderhub
647,anderledy
648,anderlitschka
649,anderman
650,andermatt
651,andernacht
652,anderrüthi
653,anderrüti
654,anders
655,andersen
656,anderson
657,andersson
658,anderwert
659,anderwerth
660,andina
661,andler
662,andolfatto
663,andrae
664,andré
665,andrea
666,andréa
667,andreae
668,andreal
669,andreanelli
670,andreani
671,andreas
672,andreatta
673,andreazza
674,andreazzi
675,andreetta
676,andreetti
677,andreff
678,andreini
679,andreino
680,andreis
681,andrek
682,andreocchi
683,andreoletti
684,andreoli
685,andreolla
686,andreoni
687,andreossi
688,andreotti
689,andres
690,andresen
691,andress
692,andretta
693,andretti
694,andretto
695,andreutti
696,andrey
697,andreys
698,andreä
699,andri
700,andrianoff
701,andrié
702,andrighetto
703,andrini
704,andriny
705,andriolo
706,andris
707,andrist
708,andriuet
709,andruet
710,andry
711,andrzejewski
712,anelli
713,anet
714,anetzhofer
715,anex
716,anex-dit-chenaud
717,angehrn
718,angel
719,angele
720,angelesco
721,angeli
722,angeli-busi
723,angelici
724,angelini
725,angelino-filera
726,angella
727,angeloni
728,angéloz
729,angeloz
730,angelozzi
731,angelrath
732,anger
733,angerer
734,angeretti
735,angerhofer
736,angermann
737,angermeier
738,angermeyer
739,anghileri
740,anghilieri
741,anghilleri
742,angiono
743,angliker
744,angly
745,angst
746,angster
747,angstmann
748,anhegger
749,anhorn
750,anhöck
751,ankele
752,anken
753,ankenbrand
754,anker
755,ankersmit
756,ankli
757,anklin
758,anliker
759,anna
760,annaheim
761,annasohn
762,annear
763,anneler
764,annen
765,anner
766,annevelle
767,annichini
768,annoni
769,annovazzi
770,anotta
771,anrig
772,ans
773,ansaldo
774,anschel
775,anschütz
776,anscombe
777,anselm
